,mort,GDPc,clusters,index,res,Country,ISO-code
80,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
81,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
82,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
83,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
84,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
85,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
86,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
87,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
88,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
89,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
90,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
91,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
92,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
93,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
94,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
95,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
96,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
97,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
98,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
99,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
100,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
101,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
102,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
103,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
104,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
105,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
106,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
107,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
108,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
109,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
110,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
111,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
112,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
113,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
114,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
115,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
116,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
117,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
118,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
119,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
120,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
121,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
122,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
123,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
124,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
125,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
126,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
127,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
128,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
129,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
130,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
131,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
132,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
133,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
134,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
135,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
136,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
137,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
138,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
139,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
140,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
141,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
142,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
143,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
144,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
145,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
146,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
147,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
148,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
149,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
150,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
151,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
152,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
153,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
154,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
155,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
156,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
157,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
158,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
159,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
160,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
161,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
162,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
163,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
164,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
165,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
166,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
167,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
168,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
169,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
170,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
171,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
172,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
173,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
174,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
175,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
176,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
177,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
178,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
179,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
180,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
181,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
182,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
183,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
184,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
185,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
186,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
187,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
